Player,BPM
Nikola Jokic (2021-22),13.72
LeBron James (2008-09),13.24
Michael Jordan (1987-88),12.96
Nikola Jokic (2020-21),12.09
Michael Jordan (1990-91),12.01
Stephen Curry (2015-16),11.94
Michael Jordan (1988-89),11.88
David Robinson (1993-94),11.87
LeBron James (2009-10),11.81
LeBron James (2012-13),11.71
Giannis Antetokounmpo (2019-20),11.51
Michael Jordan (1992-93),11.24
Michael Jordan (1989-90),11.22
Giannis Antetokounmpo (2021-22),11.17
Russell Westbrook (2016-17),11.1
Chris Paul (2008-09),10.98
James Harden (2018-19),10.95
LeBron James (2011-12),10.9
LeBron James (2007-08),10.86
Michael Jordan (1986-87),10.8
Dwyane Wade (2008-09),10.6
Michael Jordan (1995-96),10.5
Tracy McGrady (2002-03),10.5
Giannis Antetokounmpo (2018-19),10.37
Chris Paul (2007-08),10.36
Kevin Durant (2013-14),10.21
Kevin Garnett (2003-04),10.15
